,10542,10542
,,
,initial value,count
,,515
,a00,1
,a1,3
,a11,2
,a111h,1
,a28,1
,a57,1
,a7,1
,a88e8,1
,a8bburnbau,1
,aa,6
,aad,4
,aaees,2
,aails,2
,aale,1
,aalmon,1
,aame,15
,aap,1
,aaree,1
,aater,1
,aawed,1
,ab,3
,abbe,1
,abd,1
,abell,1
,abinglee,1
,abington,9
,abip,1
,able,6
,ables,2
,abliahments,1
,ablisbmenta,1
,ablishmenta,1
,ablishments,2
,abne,1
,abo,2
,aboe­,1
,abote,1
,about,26
,above,263
,abses,1
,abstract,1
,abtngton,1
,abx,1
,ac,8
,ac1,7
,accompanied,1
,according,1
,accoutrements,1
,accrue,1
,acesna,1
,aches,3
,achus,1
,achuseti,1
,aci,2
,acid,4
,aciis,1
,acite,1
,ack,2
,ackcrel,1
,acl,1
,acne,1
,acnl8,2
,acoured,1
,acr,4
,acrcs,1
,acre,2602
,acre1,1
,acre11,7
,acre1t,1
,acre3,1
,acrea,35
,acree,37
,acrei,1
,acreo,1
,acrer,3
,acres,8354
,acret,3
,acrp,1
,acrt,1
,acrtl8,1
,acrts,1
,acs,1
,act,43
,actaring,1
,action,2
,actnred,1
,acton,8
,actories,7
,actory,2
,actured,1
,acushnet,2
,ad,2
,ada,1
,adamantine,3
,adams,9
,adcs,1
,add,1
,added,2
,addition,2
,additional,1
,addle,1
,ade,1
,ades,5
,adjoining,1
,adlet,1
,advent,1
,advertiser,3
,adver­,1
,advocate,4
,ae,5
,ae1,1
,aeed,1
,ael,2
,aercs,1
,aere,8
,aere11,1
,aerea,6
,aeree,9
,aeres,13
,aerest22,1
,aero,38
,aeros,1
,aerved,1
,aet,1
,aetories,2
,aetory,1
,aets,2
,af,2
,afflne,1
,affording,1
,afield,1
,afler,1
,aforesaid,2
,aft,1
,after,21
,afue,1
,ag0,1
,ag1mts,1
,aga,1
,agawam,5
,age,8
,agent,2
,agents,1
,aggregate,1
,agon,1
,agricuhural,1
,agricujtural,1
,agricultural,62
,agriculural,1
,agri­,1
,ague,1
,ah,2
,ah1e,1
,ahd,1
,aheathing,1
,aheep,6
,ahem,1
,ahingles,1
,ahoe,1
,ahoel,1
,ahoes,2
,ahuttles,1
,ai,3
,ai1d,1
,aid,3
,aifl,1
,aiid,1
,aiihust,1
,ail,5
,ails,1
,ailver,1
,ain,2
,air,44
,airup,1
,aissons,1
,aitd,1
,aix,1
,aj,2
,ajl,3
,aket,1
,akeu,1
,akshire,1
,al,135
,al1,2
,albums,12
,alcohol,18
,ald,1
,alderman,1
,aldermen,4
,ale,1
,ales,4
,alewi,1
,alewive,2
,alewives,74
,alewivu,1
,alewiyes,1
,alf,2
,alford,7
,ali,1
,aliiesbury,1
,alj,1
,all,2770
,allen,1
,allkinds,4
,alllbiudgl,1
,alloee,1
,allow,4
,alls,2
,allsheep,1
,almanac,2
,almellst,1
,almer,1
,almost,1
,aloe,5
,alpole,1
,als,1
,also,8
,alston,1
,alt,2
,alterations,1
,altering,1
,altogether,1
,alttle,1
,alu,1
,alue,83
,alueofsame,1
,alum,1
,alxrrn,1
,am,73
,ambrotypes,2
,amc,2
,amcnmt,1
,ame,1
,amer,1
,america,2
,american,82
,americanrishter,1
,ameri­,4
,amer­,2
,ames,2
,amesbury,6
,ameunt,1
,amherst,7
,amily,1
,ammbury,1
,ammunition,1
,amoant,2
,among,4
,amonnta,1
,amoun,3
,amount,226
,amounting,2
,amounts,2
,amp,1
,amt,1
,amusements,1
,an,41
,an4,2
,ana,2
,anc1,1
,anch,1
,anchono,1
,anchor,3
,anchors,63
,ancl,3
,and,9762
,andahoes,1
,andles,1
,andother,1
,andover,11
,andoyer,2
,ands,3
,angers,3
,angings,1
,angle,1
,angles,1
,anicles,3
,animals,2
,anklin,1
,anlc,1
,anll,1
,ann,2
,anne,1
,anned,2
,anneries,17
,anns,1
,annual,2
,annually,5
,annum,5
,anos,1
,another,2
,anq,1
,anrs,1
,answer,1
,answering,1
,ant,1
,anth,9
,anthraci,3
,anthracite,59
,anthra­,2
,anti,2
,antl,1
,anu,1
,anufactorics,1
,anufactoriea,1
,anufactoriee,1
,anufactories,2
,anufacture,1
,anufactured,2
,any,9
,anzey,1
,an­,2
,ao,3
,aoa,1
,aod,24
,aof,1
,aoft,2
,aold,38
,aon,1
,aore,1
,aorea,2
,aores,2
,aoroooh,1
,aorta,2
,aot,1
,aoufactories,1
,ap,8
,ap1,1
,apital,1
,apj,1
,apothecaries,1
,apothecary,2
,apparatus,7
,apparel,3
,appen,1
,append,1
,appie,1
,appies,1
,appl,1
,apple,639
,applea,2
,applee,3
,apples,328
,applet,1
,appltrees,4
,april,5
,aqd,1
,aqes,1
,aqua,1
,aqued,2
,aqueduct,1
,ar,4
,arabic,1
,aration,1
,arc,11
,architectural,1
,are,37
,ared,1
,areham,1
,arid,4
,arising,1
,ark,2
,arley,1
,arm,2
,arme,1
,arming,1
,armory,3
,armouth,1
,arms,70
,armsm,1
,army,5
,arne,1
,arranged,2
,arrels,1
,arrot,1
,arrota,1
,arrote,1
,ars,3
,arsenal,1
,art,9
,arti,19
,articjes,1
,article,4
,article1,1
,article11,1
,articlea,1
,articlee,2
,articlel,1
,articles,775
,articll,1
,articlo,1
,artides,1
,artielee,1
,artieles,1
,artificial,8
,artiles,1
,artists,55
,arti­,15
,ar­,12
,as,491
,as8es,1
,asa,2
,asafield,1
,ascertain,3
,ascertained,1
,ased,1
,aseeesed,1
,asees,1
,aseesand,1
,ash,3
,ashburnba,1
,ashburnham,5
,ashby,8
,ashfield,6
,ashford,6
,ashington,2
,ashland,5
,aso,1
,asparagus,5
,ass,1
,assabet,1
,assachuse,2
,assachuseits,1
,assachuseti,3
,assachusetis,1
,assachusetl,1
,assachusetts,2
,asses,45
,assessors,12
,assistant,1
,associated,1
,aster,1
,astral,1
,astronomical,4
,asufield,1
,at,36
,at1d,1
,ata,1
,atcd,1
,ate,2
,ateb,2
,ated,15
,ateen,3
,ateers,15
,ateom,1
,athol,10
,ati,1
,atinct,1
,ation,3
,ations,1
,atis,1
,atistics,1
,atlantic,1
,atocb,1
,atock,17
,atoclr,1
,atoclt,1
,atoek,2
,atoes,2
,atone,2
,atres,2
,ats,1
,attleborough,6
,attorney­,1
,au,2
,aububn,1
,auburn,5
,auced,1
,aucl,1
,auction,1
,aud,20
,auerreian,1
,aueteon,1
,auger,5
,augers,12
,augurs,1
,aumber,1
,aunton,1
,authorised,1
,authorize,1
,automatic,1
,auufactorics,1
,av,1
,avd,1
,ave,2
,avel,1
,aver,2
,avera,1
,average,261
,averaging,1
,averase,1
,avertge,1
,avet,1
,aw,5
,awale,9
,awine,1
,awl,2
,awlc,1
,awls,5
,awnings,1
,ax,8
,axe,76
,axebelves,1
,axehelves,1
,axes,88
,axesbury,1
,axle,2
,axles,5
,axletree,2
,axletrees,10
,axlotrees,1
,axo11,1
,axony,9
,ayrshire,1
,ayr­,1
,b08tom,1
,b0kssm1,1
,b1,1
,b11,1
,b118h,4
,b11dde,1
,b11rk,1
,b11sh,2
,b1acksmith,1
,b1ti8tol,1
,b2,1
,b4,1
,b8,1
,b88,1
,b88e,1
,b88hee,1
,b88hes,1
,ba,26
,ba1,2
,ba1stol,6
,baa,1
,baab,2
,baabela,2
,baah,1
,baaket,1
,baby,2
,back6,1
,backs,2
,bacley,1
,bacon,2
,badey,1
,baee,1
,baft,1
,bag,2
,baga,1
,bage,1
,bagging,3
,bags,7
,bail,1
,bailders,1
,bailpden,1
,bailro,1
,bailroad,2
,bails,1
,bair,1
,bait,6
,bajteb,1
,baked,2
,bakee,1
,bakel,1
,bakeric,1
,bakeries,152
,bakt11,1
,bal,5
,balance,3
,balances,2
,bale,1
,baleing,1
,bales,14
,baline,1
,ball,1
,ballard,1
,balle,1
,ballou,1
,balls,2
,balm,2
,balmoral,18
,balusters,1
,bampshibe,1
,ban,4
,bancfjeld,1
,band,12
,banda,8
,bandaemploy,1
,bande,3
,banding,2
,bandj8pi,1
,bandl,1
,bands,731
,bane,1
,banela,1
,banging,1
,banisters,1
,banks,1
,banner,4
,baodb,1
,baodsemployed,1
,baodso,1
,baook,1
,baptist,2
,bar,112
,bara,1
,barberry,1
,bard,11
,barilla,2
,bark,290
,barks,1
,barlcy,1
,barlei,1
,barley,961
,barley1,1
,barleyr,1
,barly,2
,barmt,1
,barn88888,1
,barnfield,1
,barnst,1
,barnstable,35
,barometers,1
,barre,9
,barrel,4
,barrel3,1
,barrela,1
,barrels,81
,barrelsofmackerel,1
,barrington,9
,barrinn,1
,bars,2
,bar­,10
,basbt,1
,bash,15
,basine111,1
,basinea,1
,basineaa,1
,basineee,1
,basinese,1
,basiness,1
,basket,16
,baskets,44
,bass,3
,baston,1
,bat,11
,batches,1
,bate,1
,bats,49
,batt,1
,batter,2
,batteries,1
,batti,2
,batting,93
,bat­,2
,baud,1
,bauds,3
,baun8table,1
,bax,1
,baxony,1
,bay,149
,bayberry,2
,bayonet,1
,bayonets,1
,bb,3
,bb1e,1
,bb1s,1
,bbage,4
,bbaintbel,1
,bbh,1
,bbi8tol,2
,bbidgew,1
,bbistol,1
,bbiu,1
,bbjs,2
,bbk,2
,bbl,7
,bbla,7
,bble,9
,bbls,507
,bblta,1
,bbookline,1
,bbrksbire,1
,bbrkss1a1,1
,bbrubirb,1
,bbruiiirs,1
,bbsex,1
,bc,1
,bceswa,1
,bcoured,1
,bds,2
,bdsh,2
,be,19
,be8,1
,bea11,1
,beach,1
,bead,2
,beaksbtre,1
,beams,1
,bean,1
,beane,4
,beans,125
,bear,2
,bearing,2
,bears,1
,beater,1
,beating,1
,beaus,4
,beavers,3
,bebk8hibe,1
,bebkembb,1
,bebksamz,1
,bebksbibe,1
,bebksidbb,1
,because,1
,becket,6
,bed,4
,bedford,19
,beds,18
,bedstead,6
,bedsteads,18
,bed­,2
,bee,41
,beeawax,1
,beeca,1
,beece,3
,beeewu,1
,beef,236
,been,8
,beep,6
,beer,32
,bees,5
,beeswax,213
,beeswu,1
,bees­,19
,beet,43
,beeta,12
,beets,274
,before,51
,beftkshire,1
,bege,1
,begin,1
,bei,1
,beife,1
